Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
458;CENTRO DE FOMENTO Y BIBLIOTECA EL CRUCE;01/01/2008;522 E/ 14 Y 15;TOLOSA;Promoción y Fomento;11;1906;;jorgitoomedina@hotmail.com;;mayo 25 de 1951;;L: 31510 / M: 3759;18730/83;;488;SI;;;;JORGE OSCAR MEDINA 483-9393;2007-2008;30 de junio;X;;X;;
459;FEDERACION DE NATACION DE LA PROVINCIA DE BUENOS AIRES;;;;;;;;;;;;;Disp. N° 4/01;;489;;;;x;;;;;;;;ARCHIVADA
460;SOCIEDAD DE FOMENTO JOAQUIN GORINA;01/01/2004;485 E/ 136 Y 137;GORINA;Promoción y Fomento;10;1896;;;;agosto 17 de 1946;;L: 4962 / M: 804;13554/80;;490;;;;;ROQUE PEDRO LOPEZ;2003-2004 ( solamente acta de asamblea );;;;X;;ARCHIVADA
461;ASOCIACION COOPERADORA ESCUELA NACIONAL NORMAL SUPERIOR Nº 1 MARY O GRAHAM;;51 E/ 14 Y 15;C. URBANO ESTE;;1;1900;;;;;;;Disp. N° 4/01;;491;;;;x;;;;;;;;
462;ARGENTINO JUVENIL CLUB CULTURAL SOCIAL DEPORTIVO Y DE FOMENTO ( BIBLIOTECA FRANCISCO N. LAPRIDA );01/01/2009;CANTILO ESQ. 19;CITY BELL;Fútbol;10;1896;480-1180;;;;;L: 3904 / M: 2200;16765/82;;492;;;;;JAVIER OSVALDO MURGANTI TEL: 475-1403 / 154-288816;2008-2009;;X;;X;;ARCHIVADA
463;ASOCIACION COOPERADORA JUAN B. ALBERDI -E.N.E.T. Nº 4;01/01/1995;526 N° 1264;TOLOSA;Cooperación (Educación);6;1906;;;;agosto 2 de 1959;;;16832/82;;493;;;;;SALVATORE HECTOR;1995;;;;;;
464;ASOCIACION CULTURAL TENIENTE GENERAL JOSE FELIX URIBURU;01/01/2008;23 N° 421 E/ 40 Y 41;C. URBANO ESTE;Promoción y Fomento;4;1900;;merlin@cadema.com.ar;;septiembre 6 de 1932;;L: 7701 / M: 8924;13554/80;;494;;;;;CORREA ANDREA TEL: 453-7849;2007-2008 (Falta denuncia de extravío de libros);31 de agosto;X;;X;;ARCHIVADA
465;FUNDACION UNIVERSIDAD CATOLICA DE LA PLATA;01/01/2004;13 N° 1227 / 9 N° 1331;C. URBANO SUR;Aprendizaje y Educación;9;1900;;;;marzo 4 de 1964;;L: 11161 / M: 2286;;;496;;;;;LUIS PADIN;2003-2004;;X;;X;;ARCHIVADA
466;ASOCIACION COOPERADORA ESCUELA Nº 49;;RUTA 36 KM 4;EL PELIGRO;;7;1895;0229-491-2883;;;;;;Disp. N° 4/01;;497;;;;x;;;;;;;;
467;"SOCIEDAD DE ESCRITORES DE LA PROVINCIA DE BUENOS AIRES (S.E.P.) Y BIBLIOTECA POPULAR ""PEDRO BENOIT"" (CÁTEDRA JOSÉ HERNÁNDEZ)";01/01/2011;14 Nº 1761 DTO. 3, E/ 68 Y 69;C. URBANO ESTE;Profesiones y Oficios;1;1900;452 - 7069;letrerobonaerense@hotmail.com;;setiembre 28 de 1946;;L: 4101 / M: 5171;788/08;32683/08;498;;;;;MARTO MARCIAS;2010-2011;30 de junio;;X;;;ARCHIVADA
468;SOCIEDAD PLATENSE DE MEDICINA DEL DEPORTE;;50 Nº 374;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;500;;;;x;;;;;;;;
469;ASOCIACION COOPERADORA INSTITUTO STELLA MARIS;;66 N° 674;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1662/03;;501;;;x;;;;;;;;;
470;CENTRO DE FOMENTO CULTURAL Y DEPORTIVO ESTRELLA DEL SUR;01/01/2009;135 E/ 69 Y 70;LOS HORNOS;Promoción y Fomento;3;1941;;;;noviembre 11 de 1968;;L: 44225 / M: 7288;104/85;;502;;;;;RUBEN BISSO;2009;31 de diciembre;;;X;;
471;ASOCIACION CIVIL DE VOLUNTARIOS DE VILLA ELISA (ATENTOS A VER QUE TRAEN DE DOCUMENTACIÓN);01/01/2005;AV. ARANA Nº 236 E/ 11 Y 12;VILLA ELISA;Emergencias, Catástrofes y Prevención;12;1894;473-0479;;;octubre 28 de 1961;05/07/1983;L: 27240 / M: 3484;1604/01;;503;;;;;JOSE OMAR HOZBOR;2004-2005;;;;X;;
472;CLUB ATLETICO SOCIAL Y CULTURAL VICTORIA;01/01/2012;DIAG. 73 Nº 35 E/ 119 Y 120;C. URBANO SUR;Promoción y Fomento;9;1900;421-6970;adrianadorado22@hotmail.com;;20 de Abril 1939;;L: 3676 / M: 3862;13554/80;;504;SI;;;;DORADO ADRIANA NOEMI TEL: 15-5223413;2011-2012;15 de marzo;X;X;;2011;ARCHIVADA
473;CENTRO DE RADIOAFICIONADOS DARDO ROCHA ( C.R.A.D.R. );01/01/2001;66 Nº 9 ESQ. DIAG 113;C. URBANO SUR;Comunicaciones;9;1900;;;;marzo 5 de 1975;;L: 14982 / M: 74;13554/80;;505;;;;;LOPEZ DANIEL TEL: 452-3283;2000-2001( presentó convocatoria de asamblea para el día 23/4/05 );;;;X;;ARCHIVADA
474;CENTRO DE FOMENTO 17 DE AGOSTO;01/01/2008;143 Nº 1828 E/ 69 Y 70;LOS HORNOS;Equipamiento e Infraestructura;3;1941;450-6729;;;agosto 17 de 1965;03/05/1979;L: 14951 / M: 326;13554/80;;506;;;;;LUIS MAZZOLATTI TEL: 450-6729;2007-2008;30 de noviembre;X;;X;;
475;CENTRO DE FOMENTO SOCIAL Y DEPORTIVO JOSE HERNANDEZ;01/01/2018;31 E/ 510 Y 511;HERNANDEZ;Deportes en general;11;;484-3038;c.f.s.d.josehernandez@hotmail.com;;agosto 16 de 1927;26/08/1927;L: 7126 / M: 23084;13554/80;;507;SI;;;;FANA MARCELO OSCAR 221-4404374;2018;31 de julio;X;X;;2019;
476;ASOCIACION COOPERADORA ESCUELA Nº 17;;12 E/ 50 Y 51;VILLA ELISA;;12;1894;;;;;;;Dto. de baja 122/03;;509;;;x;;;;;;;;;
477;LIGA INDEPENDIENTE DE FUTBOL INFANTIL PLATENSE AMATEUR                               ( L.I.F.I.P.A. );01/01/2002;71 N° 1367 E/ 22 Y 23;C. URBANO SUR;Fútbol;5;1900;453-9197 / 451-9640;;;agosto 18 de 1976;;L: 19690 / M: 1313;13025/80;;510;;;;;TELESE GERARDO;2002;;;;X;;ARCHIVADA
478;ASOCIACION COOPERADORA ESCUELA SECUNDARIA PILOTO Nº 2 CARLOS N. VERGARA;;38 E/ 8 Y 9;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 4/01;;511;;;;x;;;;;;;;
479;ASOCIACION COOPERADORA ESCUELA N° 8;;DIAG. 74 E/ 16 Y 17;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1662/03;;512;;;x;;;;;;;;;
480;COLEGIO DE VETERINARIOS DE LA PROVINCIA DE BUENOS AIRES;;47 N° 386;C. URBANO NORTE;;1;1900;425-9419 / 421-9012 FAX;;;;;;Dto. de baja 2420/97;;513;;;x;;CARLOS DIEZ;;;;;;;
481;CENTRO DE FOMENTO GRAL. SAN MARTIN;01/01/2011;60 Y 144;LOS HORNOS;Fútbol;3;1941;;;;junio 16 de 1950;;L: 6775 / M: 2571;13079/80;;514;;;;;MIGUEL.A.CURSIO TEL: 450-5608 / 15-6070883/15 5860578;2010-2011;31 de octubre;X;X;;2011;ARCHIVADA
482;ASOCIACION VECINAL CENTRO DE FOMENTO IGNACIO CORREAS;01/01/1992;IGNACIO CORREAS;VILLA ELVIRA;Promoción y Fomento;8;1900;;;;agosto 22 de 1967;;L: 17508 / M: 346;13085/80;;515;;;;;;1992-1993;;X;;X;;
483;ASOCIACION COOPERADORA COLEGIO NACIONAL DE LA UNIVERSIDAD NACIONAL DE LA PLATA;;1 ESQ.49;C. URBANO NORTE;;1;1900;;;;;;;Disp. N° 4/01;;516;;;;x;;;;;;;;ARCHIVADA
484;FUNDACION DR. PEDRO BELOU;01/01/2010;60 Y 120;C. URBANO SUR;Equipamiento e Infraestructura;9;1900;;;;octubre 12 de 1978;;L: 17693 / M: 163;13297/80;;517;;;;;DR. RICARDO COCOZZELLA TEL: 421- 5211;2009-2010;30 de noviembre;;X;;2011;ARCHIVADA
485;ASOCIACION COOOPERADORA JARDIN  DE INFANTES N° 935;01/01/1996;50 N° 960;C. URBANO ESTE;Cooperación (Educación);1;1900;421-5093;;;;;;13298/80;;518;;;;;LEONIDAS LOPEZ OSORNIO;1996-1997;;;;;;
486;CLUB SOCIAL CULTURAL Y DEPORTIVO INDECO;;CNO BELGR KM 6,5;GONNET;;13;1897;;;;;;;Disp. N° 5/01;;520;;;x;;;;;;;;;
487;AGRUPACION ATLETICA LA PLATA;01/01/1979;60 Nº 821 E/ 11 Y 12;C. URBANO SUR;Deportes en general;9;1900;482-2042;;;octubre 25 de 1969;;L: 21776 / M: 4603;13419/80;;521;;;;;;1978-1979;;;;X;;
488;ASOCIACION COOPERADORA AMIGOS DEL JARDIN DE INFANTES Nº 914;01/01/1996;41 N° 1374;C. URBANO ESTE;Cooperación (Educación);4;1900;421-4270;;;mayo 25 de 1965;;;13420/80;;522;;;;;DIPPOLITO ADRIANA;1996-1997;;;;X;;
489;ASOCIACION COOPERADORA ESCUELA Nº 102 DARDO ROCHA;;7 Y 32;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 4/01;;524;;;;x;;;;;;;;
490;INSTITUTO NACIONAL SCOUTISMO ARGENTINO AGRUPACION DARDO ROCHA;;15 Nº 881;C. URBANO ESTE;;1;1900;;;;;;; Dto. de baja 831/99;;526;;;x;;;;;;;;;
491;MUTUAL DEL PERSONAL DE LA JUSTICIA NACIONAL DE LA PLATA;01/01/2000;45 N° 1119;C. URBANO ESTE;Mutualidad;1;1900;483-8514 / 424-7110;;;mayo 11 de 1972;;L: 201242;13882/80;;527;;;;;ALARCON ENRIQUE  TEL: 427-1348;1999-2000;;X;;X;;
492;BIBLIOTECA POPULAR ALEJO IGLESIAS;01/01/2016;Calle 6 (ex12) nro 1086 E/ 43 Y 44;VILLA ELISA;Bibliotecas;12;1894;473-6049;biblio_aiglesias@yahoo.com.ar;;junio 8 de 1920;03/04/1905;L: 1645 / M: 3402;14016/81;;528;;;;;MARIA ELENA GUINDE 473-0238/ 473-0649;2015-2016;30 de setiembre;X;X;;2011;
493;ASOCIACION COOPERADORA ESCUELA DE EDUCACION MEDIA N° 2;;60 E/ 12 Y 13;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 1662/03;;529;;;x;;;;;;;;;
494;ASOCIACION COOPERADORA ESCUELA NORMAL NACIONAL Nº 2 DARDO ROCHA;01/01/1992;DIAG. 78 E/ 4 Y 5;C. URBANO SUR;Cooperación (Educación);9;1900;;;;;;;13884/80;;531;;;;;VALENTI TERESA;1992;;;;;;
495;ABUELOS CLUB LA PLATA;01/01/2017;60 Nº 1273/79;C. URBANO SUR;Actividades y terapias recreativas;5;1900;451-0338;;;agosto 22 de 1976;;L: 22853 / M: 1587;14282/81;;532;SI;;;;LOPERFIDIO HUMBERTO TE: 15- 5597377/ 470-9890;2017;31 de mayo;X;X;;;
496;ROTARY CLUB LA PLATA MERIDIANO V;01/01/2013;17 N° 1698 E/ 66 Y 67;C. URBANO SUR;Servicios;9;1900;;;;febrero 27 de 1971;;L: 90373 / M: 17463;14415/81;;533;SI;;;;RICARDO RODRIGO TEL: 482-7654 GARCIA FIORENZA MARIO 451-5518;2012-2013;30 de junio;X;X;;2011;ARCHIVADA
497;PATIN CLUB LA PLATA;;42 Nº 333;C. URBANO NORTE;;2;1900;;;;;;; Dto. de baja 1409/99;;534;;;x;;;;;;;;;
498;CLUB COLOMBOFILO PLATENSE;01/01/2013;39 N° 369;C. URBANO NORTE;Vida Animal;2;1900;483-6798;;;5 de Abril 1924;;L: 3242 / M: 3882;14657/81;;535;;;;;CRISCOMO GUILLERMO TEL: 483-6798;2012-2013;30 de noviembre;X;;X;;
499;CENTRO DE FOMENTO 18 DE FEBRERO;01/01/1993;151 E/ 70 Y 71;LOS HORNOS;Equipamiento e Infraestructura;3;1941;;;;febrero 18 de 1979;;L: 46063 / M: 7782;14842/81;;536;;;;;MARTINEZ BERTA;1993-1994;;X;;X;;
500;ASOCIACION COOPERADORA ESCUELA N° 11 FLORENTINO AMEGHINO;;12 E/ 67 Y 68;C. URBANO SUR;;9;1900;451-9436;;;;;;Dto. de baja 1662/03;;537;;;x;;;;;;;;;
501;CENTRO DE FOMENTO SOCIAL CULTURAL Y DEPORTIVO 19 DE NOVIEMBRE;01/01/2016;151 E/ 59 Y 60;LOS HORNOS;Deportes en general;3;1941;;;;noviembre 19 de 1964;;L: 14936 / M: 12;15012/81;;538;;;;;SERRALLONGA EDUARDO TEL: 450-7829;2016;31 de diciembre;X;X;;;
502;ASOCIACION COOPERADORA ESCUELA DE EDUCACION ESPECIAL Nº 516;01/01/1994;514 Y 161;ROMERO;Cooperación (Educación);14;;470-5800 INT12;;;;;;15075/81;;539;;;;;BRANDONI RUBEN;1994-1995;;;;X;;
503;ASOCIACION COORDINADORA DE ENTIDADES DE VILLA ELISA (A.C.E.V.E.);01/01/2000;ARANA N° 236 E/ 11 Y 12;VILLA ELISA;Asistencia y Fomento de Instituciones;12;1894;473-0811/ 473-0479;;;diciembre 2 de 1979;;;15077/81;;540;;;;;SILVANA FUENTES;2000;;;;X;;ARCHIVADA
504;ASOCIACION COOPERADORA ESCUELA N° 529;01/01/1996;173 Nº 1035 E/ 521 Y 522;ROMERO;Cooperación (Educación);14;;;;;;;;15076/81;;541;;;;;;1996-1997;;;;X;;
505;ASOCIACION COOPERADORA ESCUELA EDUCACION TECNICA Nº 9 HIPOLITO IRIGOYEN;;66 Y 153;LOS HORNOS;;3;1941;;;;;;;Dto. de baja 40/03;;542;;;x;;;;;;;;;
506;ASOCIACION COOPERADORA ESCUELA EDUCACION TECNICA Nº 12;;173 E/ 517 Y 518;ROMERO;;14;;;;;;;;Disp. N° 4/01;;543;;;;x;;;;;;;;
507;RADIO CLUB CITY BELL;01/01/2018;calle 466 (ex calle 109 e/ 19 y 21) nº1398;CITY BELL;Comunicaciones;10;1896;480-3607;lu3dkv@gmail.com;;septiembre 12 de 1965;;L: 29093 / M: 3694;15393/81;;544;;;;;José Martinez Nuñez (de licencia) Eduardo Terrera (interino);2018;30 de septiembre;X;;X;2010;
508;ASOCIACION JUDICIAL BONAERENSE;01/01/2001;50 N° 712;C. URBANO NORTE;Profesiones y Oficios;1;1900;423-1006 / 422-8554/425-0458;;;junio 3 de 1960;;L: 7483 / M: 696;15555/81;;545;;;;;VICTOR MENDIBIL ( secretario general );2000-2001;;X;;X;;ARCHIVADA
509;CENTRO MUTUALISTA DE SUBOFICIALES Y AGENTES DE LA POLICIA DE LA PROVINCIA DE BUENOS AIRES;01/01/2010;57 N° 379 E/ 2 Y 3;C. URBANO SUR;Mutualidad;9;1900;424-5257 / 483-5592;;;25 de Abril 1980;;L: 200855;15746/81;;546;;;;;CERDA JUAN RICARDO TEL: 424-9664/ 424-5257;2009-2010;30de junio;X;X;;;ARCHIVADA
510;ASOCIACION COOPERADORA ESCUELA EDUCACION TECNICA Nº 5 / GRAL MANUEL SAVIO;01/01/1993;76 E/ 7 Y 8;VILLA ELVIRA;Cooperación (Educación);8;1900;;;;septiembre 1 de 1962;;;15797/81;;547;;;;;CIOLFI DOMINGO R.;1993-1994;;;;X;;
511;CLUB ESCUELA DE PARACAIDISMO;;47 N° 1017;C. URBANO ESTE;;1;1900;;;;;;; Dto. de baja 833/99;;548;;;x;;;;;;;;;
512;UNION COLOMBOFILA PLATENSE;01/01/1980;67 N° 1080 E/ 16 Y 17;C. URBANO SUR;Vida Animal;9;1900;451-0357;;;15 de Abril 1943;;L: 6584 / M: 3761;16044/82;;549;;;;;;1980;;;;X;;
513;LIGA SUR DE FUTBOL INFANTO JUVENIL  L.I.S.F.I.;01/01/2002;3 N° 324 E/ 38 Y 39;C. URBANO NORTE;Fútbol;2;1900;421-8948;;;febrero 23 de 1981;;L: 31424 / M: 3844;16490/82;;550;;;;;VECCHIO MIGUEL TEL: 422-4095;2001-2002;;X;;X;;ARCHIVADA
514;CASA DEL TANGO LA PLATA Y BIBLIOTECA POPULAR CARLOS GARDEL;01/01/2019;43 N° 413;C. URBANO NORTE;Promoción y Fomento;2;1900;425-3514;elalba42@yahoo.com.ar;;enero 6 de 1982;;L: 28566 / M: 3000;16572/82;;551;SI;;;;ALBERTO ALBA TEL: 482-2755 / 154205391/6436257;2019;31 de marzo;X;X;;;
515;ASOCIACION COOPERADORA  JARDIN DE INFANTES MUNICIPAL Nº 5 ALTOS DE SAN LORENZO;;23 Y 85;SAN LORENZO;;5;1900;457-2756;;;;;;Disp. N° 6/01;;552;;;x;;;;;;;;;
516;CLUB SAN LUIS;01/01/2018;520 Y 28 S/N;TOLOSA;Deportes en general;11;1906;470-1949;;;diciembre 15 de 1965;;L: 20219 / M: 754;16629/82;;553;SI;;;;CAMPODONICO ALEJANDRO TEL: 15-4205230;2018;31 de agosto;X;;X;;ARCHIVADA
517;CENTRO DE FOMENTO CULTURAL Y DEPORTIVO 9 DE JULIO;01/01/2008;21 Nº 1826 E/ 69 Y 70;C. URBANO SUR;Promoción y Fomento;5;1900;451-9554 / 451-3697;;;julio 3 de 1955;;L: 16336 / M: 6678;16629/82;;554;;;;;GADEA JORGE TEL: 424-6731;2008;31 de diciembre;X;;X;;ARCHIVADA
518;ASOCIACION CULTURAL POR LAS PROVINCIAS ARGENTINAS Y BIBLIOTECA POPULAR ESPECIALIZADA DR. AUGUSTO RAUL CORTAZAR;01/01/2007;2 Nº 417 E/ 40 Y 41;C. URBANO NORTE;Promoción y Fomento;2;1900;424-4684 / 422-8091;casadelasprovinciasargentinas@speedy.com.ar;;agosto 24 de 1981;;L: 26931 / M: 2702;16799/82;;555;;;;;ROBERTO CAYETANO MUSMANO TEL: 424-4684;2006-2007;31 de agosto;X;;X;;ARCHIVADA
519;CENTRO CRISTIANO METODISTA DE RINGUELET;01/01/2006;5 BIS E/  516 Y 517;RINGUELET;Sectas y otros;6;1901;;;;22 de Abril 1976;;;16829/82;;556;;;;;BUCAFUSCO RUBEN;2006;31 de diciembre;;;X;;ARCHIVADA
520;FEDERACION BONAERENSE DE SORDOS;;8 Nº 526;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 4/01;;557;;;;x;;;;;;;;
521;ORIENTACION PARA LA JOVEN;01/01/2017;8 Nº 835 OF. 5 / 6 N° 1435;C. URBANO NORTE;Asistencia Infancia y Adolescencia;1;1900;;;;agosto 1 de 1980;;L: 28179 / M: 2903;17120/82;;559;;;;;MARIO CATALINI;2017;30 de junio;X;X;;;
522;ASOCIACION COOPERADORA DE LA ESCUELA Nº 22 DE LA PLATA;;76 Y 22;SAN LORENZO;;5;1900;;;;;;;Disp. N° 4/01;;560;;;;x;;;;;;;;
523;AGRUPACION PLATENSE DE ACTIVIDADES SUBACUATICAS;;60 E/ 23 Y 24;C. URBANO SUR;;1;1900;;;;;;;Dto. de baja 1662/03;;561;;;x;;;;;;;;;
524;ASOCIACION COOPERADORA ESCUELA N° 77;;RUTA 6 KM.  10,800;ETCHEVERRY;;7;;;;;;;;Disp. N° 4/01;;562;;;;x;;;;;;;;
525;ASOCIACION DE AYUDA AL MENOR DE LA PROVINCIA DE BUENOS AIRES;;5 E/ 51 Y 53;C. URBANO SUR;;1;1900;;;;;;; Dto. de baja 1662/03;;563;;;x;;;;;;;;;
526;ASOCIACION DE DEPORTES Y RECREACION ESPECIAL ( A.D.R.E. );01/01/2019;41 Nº 1524 E/ 25 Y 26;C. URBANO ESTE;Capacidades diferentes (mental);4;1900;479-0223;;;24 de Abril 1982;;L: 29410 / M: 3211;17630/83;;564;SI;SI;;;MARCHAN JUAN CARLOS TEL: 482-4169;2019;30 de junio;X;X;;2019;
527;ASOCIACION COOPERADORA DEL INSTITUTO REMEDIOS ESCALADA DE SAN MARTIN;01/01/1996;CENTENARIO Y 48;VILLA ELISA;Cooperación (otros);12;1894;487- 0143;;;diciembre 29 de 1982;;;17818/83;;565;;;;;SILVIA ROSSI;1996-1997;;;;X;;
528;ASOCIACION CULTURAL BONAERENSE;01/01/2016;56 Nº 704 ESQ. 9;C. URBANO SUR;Promoción y Fomento;9;1900;421-9186;;;5 de Abril  1982;;L: 28607 / M: 3130;17789/83;;566;;;;;BORRAZAS BERNARDO TEL: 421-5058;2016;;;;X;;
529;FUNDACION C.I.T.I.D.A.D. ( CENTRO DE INVESTIGACION Y TRATAMIENTO INTEGRAL PARA DEPENDIENTES DEL ALCOHOL Y DROGAS );01/01/2010;PZA ALSINA N° 31  (1 Y 38);C. URBANO NORTE;Atención Adicciones;2;1900;483-3811;citidad@yahoo.com.ar;;septiembre 20 de 1982;;L: 34095 / M: 6552;17839/83;;567;SI;;;;MARIA INES PIETRANGELI TEL: 422-8166;2009-2010;31 de agosto;;X;;;ARCHIVADA
530;AGRUPACION TRADICIONALISTA EL TALA;;PIRIA ESQ.BRIAN DUN;VILLA ELISA;;12;1894;;;;;;;Dto. de baja 713/99;;568;;;x;;;;;;;;;
531;COOPERATIVA DE TRABAJO DE EDUCADORES LIMITADA;01/01/2000;45 N° 320;C. URBANO NORTE;Cooperativismo;1;1900;TEL / FAX: 421-3454;;;julio 8 de 1970;;;17909/83;;569;;;;;GRACIELA LOPEZ DE FARFAN;1999-2000;;X;;X;;
532;Camara de Comercio e Industria La Plata;01/01/2005;53 N° 720 E/ 9 Y 10;C. URBANO SUR;Desarrollo Comercial y Productivo;1;1900;425-2172 / 483-8206;ccilps@satlink.com;;mayo 30 de 1915;;L: 1571 / M: 3568;18077/83;;570;;;;;JUAN CARLOS PIANCAZZO TEL: 470-6166;2004-2005;;X;;X;;ARCHIVADA
533;ASOCIACION COMUNITARIA CENTRO DE EDUCACION ESPECIAL;;44 Nº 739;C. URBANO NORTE;;2;1900;;;;;;;Disp. N° 4/01;;571;;;;x;;;;;;;;
534;CAMARA DE PELUQUEROS Y PEINADORES DE LA PLATA;01/01/1998;DIAG. 73 Nº 955;C. URBANO SUR;Desarrollo Comercial y Productivo;9;1900;;;;diciembre 7 de 1943;;;18186/83;;572;;;;;MONTECHIARI JUAN CARLOS TEL: 422-8428;1998-1999;;X;;X;;
535;CENTRO VECINAL DE FOMENTO LAS BANDERITAS;01/01/2018;450 E/ 159 Y 160 Cnia.Las Banderitas;CITY BELL;Equipamiento e Infraestructura;10;1896;475-0333;;;junio 12 de 1977;;L:16565 / M: 193;18488/83;;573;;;;;AMERICO López TEL: 475-2414;2018;30 de abril;X;;X;;ARCHIVADA
536;CLUB DE ACTIVIDADES SOLIDARIAS VOLUNTADES LA PLATA;01/01/2018;14 Nº2179;RINGUELET;Servicios;6;1900;482-5669 / 471-3970 / 451-5356 / 483-9816;caslaplata@yahoo.com.ar;;agosto 2 de 1982;;L: 38595 / M: 10052;18663/83;;574;;;;;OLGA FIDALGO ocamblor@gmail.com;2018;31 de diciembre;;X;;;
537;FUNDACION DR. PEDRO GOYENA;01/01/2000;45 N° 491 P 2 DTO. E;C. URBANO NORTE;Asistencia Estudiantil;2;1900;;;;agosto 10 de 1979;;L: 20021 / M: 705;18729/83;;575;;;;;GUILLERMO PONZINIBBIO TEL: 452-6479;2000;;;;X;;
538;FORTIN TRADICIONALISTA LA MANEA;;44 Y 164;LOS HORNOS;;3;1941;;;;;;;Dto. de baja  40/03;;576;;;x;;;;;;;;;
539;ASOCIACION COOPERADORA DE LA ESCUELA N° 533;;43 N° 2222;SAN CARLOS;;4;1900;;;;;;;Dto. de baja 1666/03;;577;;;x;;;;;;;;;
540;ASOCIACION MOTOCICLISTA PLATENSE;;69 Nº 480 E/ 4 Y 5;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 443/02;;578;;;x;;;;;;;;;
541;AGRUPACION PLATENSE DE PESCA;;14 Nº 1528;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 1662/03;;579;;;x;;;;;;;;;
542;FEDERACION DE FUTBOL INFANTIL DE LA PROVINCIA DE BUENOS AIRES;;6 Nº 1370;C. URBANO SUR;;9;1900;424-8803 / 451-6069;;;;;; Dto. de baja 1662/03;;580;;;x;;;;;;;;;
543;ASOCIACION AMIGOS DE LA BIBLIOTECA BRAILLE;01/01/2015;47 Nº 512 E/ 5 Y 6;C. URBANO NORTE;Capacidades diferentes (visual);1;1900;421-0578 / 429-6593;sergio23ar@yahoo.com.ar;;octubre 15 de 1978;;L: 53803 / M: 9636;695/84;;581;;;;;DIRECTOR: MARCELO CALVO PRESIDENTE: DR. SERGIO PIRO;2015;31 de diciembre;;;X;;
544;CLUB JULIO F. GHIONE DEPORTES SOBRE SILLAS DE RUEDA;01/01/2008;64 N° 1536 E/ 25 Y 26;C. URBANO SUR;Capacidades diferentes (motora);5;1900;451-5856;clubghione@yahoo.com.ar;;noviembre 19 de 1975;;L: 15479 / M: 1808;759/84;;582;;;;;LAURA OUSSET TEL: 453-2061;2007-2008;30 de junio;X;;X;;ARCHIVADA
545;CENTRO DEPORTIVO RECREATIVO Y CULTURAL PROFESOR LUIS MORZONE;;59 Nº 591 1º D;C. URBANO SUR;;9;1900;483-0620;;;;;;Dto. de baja 1662/03;;583;;;x;;;;;;;;;
546;CIRCULO DE JEFES Y OFICIALES JUBILADOS DE POLICIA DE LA PROVINCIA DE BUENOS AIRES;;6 Nº 1383;C. URBANO SUR;;9;1900;482-9555;;;;;;;;584;;;x;;;;;;;;;
547;ASOCIACION DEPORTIVA MONTESA;;6 E/ 524 Y 525;TOLOSA;;6;1906;;;;;;; Dto. de baja 1706/89;;585;;;x;;;;;;;;;
548;CAMARA JUNIOR DE LA PLATA;01/01/1983;7 N° 437 E/ 40 Y 41 (DESCONOCIDO);C. URBANO NORTE;Desarrollo Comercial y Productivo;2;1900;483-9787;;;diciembre 10 de 1982;;L: 32164 / M: 3880;1038/84;;586;;;;;JORGE TARLING TEL: 15-5019900;1982-1983;;;;X;;
549;FUNDACION DE CIENCIAS ECONOMICAS;;48 Nº 555 P5 OF 511;C. URBANO NORTE;;1;1900;TEL / FAX 482-3985;;;;;;Disp. N° 4/01;;587;;;;x;;;;;;;;
550;CAMARA DE COMERCIO AUTOMOTOR LA PLATA;01/01/2016;20 Nº 1091;C. URBANO SUR;Desarrollo Comercial y Productivo;5;1900;451-9623;laplata@acara.org.ar;;marzo 16 de 1977;28/02/1979;L: 16999 / M: 158;1372/84;;588;;;;;FANTINELLI FELIX;2015-2016;30 de setiembre;X;X;;;
551;CIRCULO  DE SUBOFICIALES Y GUARDIAS DEL SERVICIO PENITENCIARIO DE LA PROVINCIA  BUENOS AIRES;01/01/2003;57 N° 1031 E/ 15 Y 16;C. URBANO SUR;Profesiones y Oficios;9;1900;482-7826 / 425-7656;;;agosto 20 de 1982;;L: 28789 / M: 3830;1374/84;;589;;;;;AIMETTA CARLOS ALBERTO;2002-2003 ( resta presentar datos de C.D.);;;;X;;ARCHIVADA
